State,Abrv,Electoral Votes,Consensus (June),Consensus (July),Cook 6-12-20,Sabatos 6-12-20,Inside Elections 6-12-20,Politico 6-12-20,Crystal Ball 7-10-20,Cook 7-13-20,Inside Elections 7-13-20,Niskanen Center 7-13-20,The Economist 7-13-20,CNN 7-13-20,Politico 7-13-20
Alabama,AL,9,7,7,7,7,7,7,7,7,7,7,7,7,7
Alaska,AK,3,7,6.847534246,7,7,7,7,7,7,7,7,6,7,7
Arizona,AZ,11,4,3.838942439,4,4,4,4,4,4,4,3,4,4,4
Arkansas,AR,6,7,7,7,7,7,7,7,7,7,7,7,7,7
California,CA,55,1,1,1,1,1,1,1,1,1,1,1,1,1
Colorado,CO,9,2,1.91947122,2,2,1,3,2,2,1,1,2,3,4
Connecticut,CT,7,1,1,1,1,1,1,1,1,1,1,1,1,1
Delaware,DE,3,1.25,1,1,1,1,2,1,1,1,1,1,1,1
District of Columbia,DC,3,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,FL,29,4.25,3.838942439,4,5,4,4,4,4,4,4,3,4,4
Georgia,GA,16,5,4.543987642,5,5,5,5,5,4,5,4,4,5,5
Hawaii,HI,4,1,1,1,1,1,1,1,1,1,1,1,1,1
Idaho,ID,4,7,7,7,7,7,7,7,7,7,7,7,7,7
Illinois,IL,20,1,1,1,1,1,1,1,1,1,1,1,1,1
Indiana,IN,11,7,6.847534246,7,7,7,7,7,7,7,7,6,7,7
Iowa,IA,6,5.25,4.691172785,6,5,5,5,5,5,5,4,4,5,5
Kansas,KS,6,7,7,7,7,7,7,7,7,7,7,7,7,7
Kentucky,KY,8,7,7,7,7,7,7,7,7,7,7,7,7,7
Louisiana,LA,8,7,6.847534246,7,7,7,7,7,7,7,7,6,7,7
Maine,ME,4,2.75,2.155228856,3,3,2,3,3,3,3,1,2,2,2
Maryland,MD,10,1,1,1,1,1,1,1,1,1,1,1,1,1
Massachusetts,MA,11,1,1,1,1,1,1,1,1,1,1,1,1,1
Michigan,MI,16,3.5,2.949943863,4,3,3,4,3,3,3,3,2,4,3
Minnesota,MN,10,3,2.671833965,3,3,3,3,3,3,3,2,2,3,3
Mississippi,MS,6,7,6.847534246,7,7,7,7,7,7,7,7,6,7,7
Missouri,MO,10,7,6.847534246,7,7,7,7,7,7,7,7,6,7,7
Montana,MT,3,7,6.847534246,7,7,7,7,7,7,7,6,7,7,7
Nebraska,NE,5,7,6.698389321,7,7,7,7,7,7,7,7,7,6,6
Nevada,NV,6,2.75,2.379565579,2,3,2,4,3,2,2,2,2,3,3
New Hampshire,NH,4,3.25,2.831166172,3,3,3,4,3,3,3,3,2,3,3
New Jersey,NJ,14,1,1,1,1,1,1,1,1,1,1,1,1,1
New Mexico,NM,5,1.5,1.219013654,1,2,1,2,2,1,1,1,1,1,2
New York,NY,29,1,1,1,1,1,1,1,1,1,1,1,1,1
North Carolina,NC,15,4,4,4,4,4,4,4,4,4,4,4,4,4
North Dakota,ND,3,7,7,7,7,7,7,7,7,7,7,7,7,7
Ohio,OH,18,5.5,4.814963904,6,5,6,5,5,5,6,4,4,5,5
Oklahoma,OK,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Oregon,OR,7,1.25,1.104089514,1,1,1,2,1,1,1,1,1,1,2
Pennsylvania,PA,20,3.75,2.949943863,4,4,3,4,3,3,3,3,2,4,3
Rhode Island,RI,4,1.25,1,1,1,1,2,1,1,1,1,1,1,1
South Carolina,SC,9,7,6.847534246,7,7,7,7,7,7,7,7,6,7,7
South Dakota,SD,3,7,7,7,7,7,7,7,7,7,7,7,7,7
Tennessee,TN,11,7,7,7,7,7,7,7,7,7,7,7,7,7
Texas,TX,38,5.25,5.131940481,5,5,6,5,5,5,6,5,5,5,5
Utah,UT,6,6.75,6.847534246,7,7,7,6,7,7,7,7,7,7,6
Vermont,VT,3,1,1,1,1,1,1,1,1,1,1,1,1,1
Virginia,VA,13,2,1.842184881,2,2,1,3,2,2,1,1,2,3,3
Washington,WA,12,1,1,1,1,1,1,1,1,1,1,1,1,1
West Virginia,WV,5,7,7,7,7,7,7,7,7,7,7,7,7,7
Wisconsin,WI,10,4,3.337020882,4,4,4,4,4,3,4,3,2,4,4
Wyoming,WY,3,7,7,7,7,7,7,7,7,7,7,7,7,7
