State,Donald Trump,Hillary Clinton,Other,Rep_Pct,Dem_Pct
Alabama,1318250,729547,75570,0.620830031,0.343580267
Alaska,163387,116454,38557,0.513153349,0.365749785
Arizona,1252401,1161167,190709,0.480901609,0.445869237
Arkansas,684872,380494,64530,0.606137202,0.336751347
California,4483810,8753788,943997,0.316171065,0.617263996
Colorado,1202484,1338870,238866,0.432513974,0.481569804
Connecticut,673215,897572,74133,0.409269144,0.545663011
Delaware,185127,235603,22267,0.417896735,0.531838816
District of Columbia,12723,282830,15715,0.040874745,0.908638215
Florida,4617886,4504975,297178,0.490219414,0.478233158
Georgia,2089104,1877963,147644,0.507715852,0.456402163
Hawaii,128847,266891,33199,0.30038677,0.622214917
Idaho,409055,189765,91613,0.592461542,0.274849261
Illinois,2146015,3090729,321963,0.386063702,0.556015814
Indiana,1557286,1033126,144546,0.569400334,0.377748397
Iowa,800983,653669,111379,0.511473272,0.417404892
Kansas,671018,427005,86380,0.56654534,0.360523403
Kentucky,1202971,628854,92324,0.625196386,0.326821883
Louisiana,1178638,780154,70240,0.580886847,0.384495661
Maine,335593,357735,54599,0.448697533,0.478302027
Maryland,943169,1677928,160349,0.339093047,0.603257442
Massachusetts,1090893,1995196,188466,0.333142366,0.609302943
Michigan,2279543,2268839,250902,0.474975642,0.47274531
Minnesota,1322951,1367716,254146,0.449247881,0.464449186
Mississippi,700714,485131,23512,0.579410381,0.401147883
Missouri,1594511,1071068,141802,0.567971002,0.381518575
Montana,279240,177709,40198,0.561684974,0.357457653
Nebraska,495961,284494,63772,0.587473511,0.336987564
Nevada,512058,539260,74067,0.455006953,0.479178237
New Hampshire,345790,348526,49980,0.46458667,0.468262627
New Jersey,1601933,2148278,123835,0.413503867,0.554530844
New Mexico,319667,385234,93418,0.400425143,0.482556472
New York,2814589,4547562,345212,0.36518184,0.590028263
North Carolina,2362631,2189316,189617,0.498280947,0.461728662
North Dakota,216794,93758,33808,0.629556278,0.272267395
Ohio,2841005,2394164,261318,0.516876507,0.435580763
Oklahoma,949136,420375,83481,0.653228648,0.289316803
Oregon,782403,1002106,216827,0.390940352,0.50071852
Pennsylvania,2970733,2926441,218228,0.485778858,0.478536162
Rhode Island,180543,252525,31076,0.388980575,0.544066066
South Carolina,1155389,855373,92265,0.549393327,0.406734198
South Dakota,227721,117458,24914,0.615307504,0.317374282
Tennessee,1522925,870695,114407,0.607220337,0.347163328
Texas,4685047,3877868,406311,0.522346856,0.43235258
Utah,515231,310676,305523,0.455380359,0.274587027
Vermont,95369,178573,41135,0.302684741,0.566759871
Virginia,1769443,1981473,233715,0.444066966,0.49727892
Washington,1221747,1742718,244749,0.38069976,0.543035771
West Virginia,489371,188794,34886,0.686305748,0.26476928
Wisconsin,1404440,1381823,189490,0.471961215,0.464360785
Wyoming,174419,55973,25457,0.681726331,0.218773573
